id,economic_id,frame,probability,stake,ratio,reward,risky_label,safe_label,text,system_message
decision_discovery_gain_p0.15_s30_r0_original_A,decision_discovery_gain_p0.15_s30_r0,gain,0.15,30.0,0.3,9.0,A,B,"All outcomes are changes from your current token balance, which is the reference point. You have enough tokens to cover any losses. Choose the option you prefer.
Option A: 15% chance to gain 9 tokens; 85% chance to gain or lose 0 tokens.
Option B: 100% chance to gain 30 tokens.
Answer with exactly one letter: A or B.",Choose between the two options. Your answer must contain only the option letter A or B. Do not explain.
decision_discovery_gain_p0.15_s30_r0_original_B,decision_discovery_gain_p0.15_s30_r0,gain,0.15,30.0,0.3,9.0,B,A,"All outcomes are changes from your current token balance, which is the reference point. You have enough tokens to cover any losses. Choose the option you prefer.
Option A: 100% chance to gain 30 tokens.
Option B: 15% chance to gain 9 tokens; 85% chance to gain or lose 0 tokens.
Answer with exactly one letter: A or B.",Choose between the two options. Your answer must contain only the option letter A or B. Do not explain.
decision_discovery_gain_p0.15_s30_r1_original_A,decision_discovery_gain_p0.15_s30_r1,gain,0.15,30.0,0.7,21.0,A,B,"All outcomes are changes from your current token balance, which is the reference point. You have enough tokens to cover any losses. Choose the option you prefer.
Option A: 15% chance to gain 21 tokens; 85% chance to gain or lose 0 tokens.
Option B: 100% chance to gain 30 tokens.
Answer with exactly one letter: A or B.",Choose between the two options. Your answer must contain only the option letter A or B. Do not explain.
decision_discovery_gain_p0.15_s30_r1_original_B,decision_discovery_gain_p0.15_s30_r1,gain,0.15,30.0,0.7,21.0,B,A,"All outcomes are changes from your current token balance, which is the reference point. You have enough tokens to cover any losses. Choose the option you prefer.
Option A: 100% chance to gain 30 tokens.
Option B: 15% chance to gain 21 tokens; 85% chance to gain or lose 0 tokens.
Answer with exactly one letter: A or B.",Choose between the two options. Your answer must contain only the option letter A or B. Do not explain.
decision_discovery_gain_p0.15_s30_r2_original_A,decision_discovery_gain_p0.15_s30_r2,gain,0.15,30.0,1.3,39.0,A,B,"All outcomes are changes from your current token balance, which is the reference point. You have enough tokens to cover any losses. Choose the option you prefer.
Option A: 15% chance to gain 39 tokens; 85% chance to gain or lose 0 tokens.
Option B: 100% chance to gain 30 tokens.
Answer with exactly one letter: A or B.",Choose between the two options. Your answer must contain only the option letter A or B. Do not explain.
decision_discovery_gain_p0.15_s30_r2_original_B,decision_discovery_gain_p0.15_s30_r2,gain,0.15,30.0,1.3,39.0,B,A,"All outcomes are changes from your current token balance, which is the reference point. You have enough tokens to cover any losses. Choose the option you prefer.
Option A: 100% chance to gain 30 tokens.
Option B: 15% chance to gain 39 tokens; 85% chance to gain or lose 0 tokens.
Answer with exactly one letter: A or B.",Choose between the two options. Your answer must contain only the option letter A or B. Do not explain.
decision_discovery_gain_p0.15_s30_r3_original_A,decision_discovery_gain_p0.15_s30_r3,gain,0.15,30.0,2.3,69.0,A,B,"All outcomes are changes from your current token balance, which is the reference point. You have enough tokens to cover any losses. Choose the option you prefer.
Option A: 15% chance to gain 69 tokens; 85% chance to gain or lose 0 tokens.
Option B: 100% chance to gain 30 tokens.
Answer with exactly one letter: A or B.",Choose between the two options. Your answer must contain only the option letter A or B. Do not explain.
decision_discovery_gain_p0.15_s30_r3_original_B,decision_discovery_gain_p0.15_s30_r3,gain,0.15,30.0,2.3,69.0,B,A,"All outcomes are changes from your current token balance, which is the reference point. You have enough tokens to cover any losses. Choose the option you prefer.
Option A: 100% chance to gain 30 tokens.
Option B: 15% chance to gain 69 tokens; 85% chance to gain or lose 0 tokens.
Answer with exactly one letter: A or B.",Choose between the two options. Your answer must contain only the option letter A or B. Do not explain.
decision_discovery_gain_p0.15_s30_r4_original_A,decision_discovery_gain_p0.15_s30_r4,gain,0.15,30.0,4.3,129.0,A,B,"All outcomes are changes from your current token balance, which is the reference point. You have enough tokens to cover any losses. Choose the option you prefer.
Option A: 15% chance to gain 129 tokens; 85% chance to gain or lose 0 tokens.
Option B: 100% chance to gain 30 tokens.
Answer with exactly one letter: A or B.",Choose between the two options. Your answer must contain only the option letter A or B. Do not explain.
decision_discovery_gain_p0.15_s30_r4_original_B,decision_discovery_gain_p0.15_s30_r4,gain,0.15,30.0,4.3,129.0,B,A,"All outcomes are changes from your current token balance, which is the reference point. You have enough tokens to cover any losses. Choose the option you prefer.
Option A: 100% chance to gain 30 tokens.
Option B: 15% chance to gain 129 tokens; 85% chance to gain or lose 0 tokens.
Answer with exactly one letter: A or B.",Choose between the two options. Your answer must contain only the option letter A or B. Do not explain.
