source_figure,figure_name,experiment_type,data_section,model,probe_layer,game,target_switching_point_tokens,lambda_calibrated,risky_reward_tokens,n_agents,n_choosing_risky,raw_fraction_risky,plotted_fraction_risky,agent_id,prompt,response,parsed_choice,lambda_required,calibration_procedure,choice_subset,mean_probe_activation
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,lottery,30,0.2946,20.0,40.0,4.0,0.1,0.106667,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,lottery,30,0.2946,25.0,40.0,6.0,0.15,0.166288,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,lottery,30,0.2946,30.0,40.0,13.0,0.325,0.340909,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,lottery,30,0.2946,35.0,40.0,25.0,0.625,0.606364,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,lottery,30,0.2946,40.0,40.0,31.0,0.775,0.775,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,lottery,30,0.2946,45.0,40.0,37.0,0.925,0.910227,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,lottery,30,0.2946,50.0,40.0,38.0,0.95,0.952879,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,lottery,30,0.2946,55.0,40.0,40.0,1.0,0.991591,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,lottery,30,0.2946,60.0,40.0,39.0,0.975,0.991591,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,lottery,30,0.2946,65.0,40.0,40.0,1.0,0.997348,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,lottery,30,0.2946,70.0,40.0,40.0,1.0,1.0,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,lottery,30,0.2946,75.0,40.0,40.0,1.0,1.0,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,lottery,30,0.2946,80.0,40.0,40.0,1.0,1.0,,,,,,,,
