old_goodfire_label,replacement_feature_label,replacement_status,feature_index,neuronpedia_api_url,approx_candidate_rank,approx_cosine_similarity,approx_confidence_bucket,paper_row_count
Aesthetic qualities and visual appearance,qualities of look and design,approximate_neuronpedia_explanation_search_top1,14580,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/14580,1,0.7203984890631865,high_semantic_similarity,1
Calculated risk-taking behavior and entrepreneurial mindset,taking risks and responsibility,approximate_neuronpedia_explanation_search_top1,20906,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/20906,1,0.6488433643017018,medium_semantic_similarity,2971
Careful explanation or instruction giving,instructions or explanations,approximate_neuronpedia_explanation_search_top1,42452,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/42452,1,0.6381468513283088,medium_semantic_similarity,229
Character decision-making and multi-step action sequences in narratives,thought and action sequences,approximate_neuronpedia_explanation_search_top1,43445,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/43445,1,0.657589529494725,medium_semantic_similarity,230
Chemical compound name subcomponents and IUPAC nomenclature patterns,chemical nomenclature patterns,approximate_neuronpedia_explanation_search_top1,30342,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/30342,1,0.7446899973730662,high_semantic_similarity,1
Code syntax patterns for object creation and initialization,object creation and initialization,approximate_neuronpedia_explanation_search_top1,50681,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/50681,1,0.6786937561041319,medium_semantic_similarity,418
Common articles and prepositions in explanatory text,common articles and prepositions,approximate_neuronpedia_explanation_search_top1,33852,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/33852,1,0.8098012618057358,high_semantic_similarity,3
Comparative capability claims about AI systems,AI and human comparison,approximate_neuronpedia_explanation_search_top1,33516,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/33516,1,0.6680004025231188,medium_semantic_similarity,2
Comparative or explanatory statements introducing factual information,factual or descriptive statements,approximate_neuronpedia_explanation_search_top1,15398,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/15398,1,0.6080306829696813,medium_semantic_similarity,26
Connecting phrases and transitions when reformulating text,connecting phrases,approximate_neuronpedia_explanation_search_top1,49657,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/49657,1,0.6803086030706001,medium_semantic_similarity,606
Connecting words in lists and feature descriptions,connecting related concepts in lists,approximate_neuronpedia_explanation_search_top1,13010,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/13010,1,0.6745634898883305,medium_semantic_similarity,1
Constructing explanatory statements with qualifiers and nuance,acknowledging limitations and complexities via conjunctions,approximate_neuronpedia_explanation_search_top1,2769,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/2769,1,0.608315488083818,medium_semantic_similarity,1
Coordinating conjunctions connecting related concepts in formal writing,conjunctions and subsequent phrases,approximate_neuronpedia_explanation_search_top1,23525,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/23525,1,0.6804496394587815,medium_semantic_similarity,674
Copular constructions in explanatory text,"""typically"" introducing explanations",approximate_neuronpedia_explanation_search_top1,896,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/896,1,0.5997049371638696,low_semantic_similarity,13
Corrupted or malformed non-Latin text sequences,garbled non-latin characters,approximate_neuronpedia_explanation_search_top1,5350,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/5350,1,0.7650652032595161,high_semantic_similarity,1
Cost-benefit analysis and weighing tradeoffs,balance and trade-offs,approximate_neuronpedia_explanation_search_top1,1253,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/1253,1,0.6871653016116278,medium_semantic_similarity,38
Criticism of something being too obvious or unoriginal,a possible criticism or quote,approximate_neuronpedia_explanation_search_top1,18667,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/18667,1,0.5090530541473158,low_semantic_similarity,2
Descriptions of building materials and their properties in marketing/technical contexts,material or type descriptions,approximate_neuronpedia_explanation_search_top1,26961,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/26961,1,0.6352914628209698,medium_semantic_similarity,1
Descriptions of comfortable outdoor living spaces and backyard amenities,outdoor spaces and items,approximate_neuronpedia_explanation_search_top1,46665,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/46665,1,0.6300409407463872,medium_semantic_similarity,1
Descriptions of construction materials and building methods,material or type descriptions,approximate_neuronpedia_explanation_search_top1,26961,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/26961,1,0.5996565515280824,low_semantic_similarity,2
Descriptions of ergonomic grips and comfortable handling features,ergonomic handle or grip,approximate_neuronpedia_explanation_search_top1,36804,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/36804,1,0.7939484896137028,high_semantic_similarity,3
Descriptions of experimental procedures and participant tasks in research studies,research programs and laboratory studies,approximate_neuronpedia_explanation_search_top1,52040,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/52040,1,0.5570029043647489,low_semantic_similarity,2026
Descriptions of mechanical components and how they interact,technical components and their descriptions,approximate_neuronpedia_explanation_search_top1,5950,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/5950,1,0.7015793145484336,high_semantic_similarity,4
Descriptions of what groups or entities can or cannot do,what entities can do or possess,approximate_neuronpedia_explanation_search_top1,1260,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/1260,1,0.650802248314467,medium_semantic_similarity,4
Detailed character descriptions and intimate interactions in fiction,complex character descriptions,approximate_neuronpedia_explanation_search_top1,22857,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/22857,1,0.6441554811865439,medium_semantic_similarity,519
Detailed technical explanations and specifications,detailed descriptions,approximate_neuronpedia_explanation_search_top1,10605,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/10605,1,0.6979151649733577,medium_semantic_similarity,2
"Discussions of egoism and self-interest, especially in moral contexts",in or about ethics,approximate_neuronpedia_explanation_search_top1,35678,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/35678,1,0.5782010668987037,low_semantic_similarity,557
"Discussions of weight distribution, balance and stability in physical systems",stance and weight distribution,approximate_neuronpedia_explanation_search_top1,65510,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/65510,1,0.5973838178358218,low_semantic_similarity,2
Document structure and formatting syntax,HTML formatting and structure,approximate_neuronpedia_explanation_search_top1,42,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/42,1,0.7196974607649139,high_semantic_similarity,135
Economic tradeoffs and payoff structures in social contexts,balance and trade-offs,approximate_neuronpedia_explanation_search_top1,1253,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/1253,1,0.5710626107412656,low_semantic_similarity,4672
Employment and financial security/stability concepts,"financial, social, and personal concepts",approximate_neuronpedia_explanation_search_top1,50849,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/50849,1,0.6371220185564357,medium_semantic_similarity,11
Ensuring fairness and equal treatment,equality and fairness,approximate_neuronpedia_explanation_search_top1,52077,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/52077,1,0.7228806501615908,high_semantic_similarity,744
"Ensuring safety, stability and protection in business and financial contexts",ensuring security and protection,approximate_neuronpedia_explanation_search_top1,27660,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/27660,1,0.630592828842647,medium_semantic_similarity,66
Explaining capabilities and possibilities in instructional contexts,introduces explanations or capabilities,approximate_neuronpedia_explanation_search_top1,15124,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/15124,1,0.6299039435955373,medium_semantic_similarity,21
Explanatory qualifications and limitations in technical writing,as explaining limitations,approximate_neuronpedia_explanation_search_top1,46091,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/46091,1,0.6247540189553227,medium_semantic_similarity,1
Explanatory text about complex ecological and social systems,behavior of systems and people,approximate_neuronpedia_explanation_search_top1,10057,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/10057,1,0.6211353106346309,medium_semantic_similarity,8
Explanatory transitions in technical writing,"phrases that signal instructional or technical/documentation context, such as introducing examples, metadata, or step-by-step guidance.",approximate_neuronpedia_explanation_search_top1,20617,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/20617,1,0.634745499277307,medium_semantic_similarity,2
Financial feasibility analysis and cost-benefit evaluation,economic feasibility and costs,approximate_neuronpedia_explanation_search_top1,33459,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/33459,1,0.7634902002967154,high_semantic_similarity,11
Following safety guidelines and best practices in technical contexts,security and safety concepts,approximate_neuronpedia_explanation_search_top1,63108,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/63108,1,0.63034523647054,medium_semantic_similarity,1086
Formal offer and counteroffer language in negotiations,offers and options,approximate_neuronpedia_explanation_search_top1,21057,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/21057,1,0.5928892655880604,low_semantic_similarity,1352
"Formatting characters that separate items in structured text (commas, spaces, newlines)","formatting and structural markers—such as placeholders, special header tokens, tabs, and sentence-ending punctuation.",approximate_neuronpedia_explanation_search_top1,33594,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/33594,1,0.6882080073422356,medium_semantic_similarity,1
Game theory concepts involving cooperation versus competition,game theory and related phrases,approximate_neuronpedia_explanation_search_top1,4156,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/4156,1,0.6458373287389261,medium_semantic_similarity,2026
German compound word components and suffixes,German compound words,approximate_neuronpedia_explanation_search_top1,45100,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/45100,1,0.8596042519859676,high_semantic_similarity,310
Grammatical particles and connecting words in non-English languages,multi-language connecting words,approximate_neuronpedia_explanation_search_top1,57617,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/57617,1,0.6667371555378621,medium_semantic_similarity,1
Introducing potential risks or possibilities in explanatory contexts,This introduces explanation or possibility,approximate_neuronpedia_explanation_search_top1,6786,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/6786,1,0.7169366213794969,high_semantic_similarity,1445
Linguistic connectors that create fluid prose transitions,words and phrases connector,approximate_neuronpedia_explanation_search_top1,7037,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/7037,1,0.6992200621573508,medium_semantic_similarity,338
"List-making and enumeration patterns, especially when describing components or contents",lists and enumeration,approximate_neuronpedia_explanation_search_top1,43696,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/43696,1,0.6541905336728449,medium_semantic_similarity,1
Lists of creative activities and artistic mediums,creative works and artists,approximate_neuronpedia_explanation_search_top1,31612,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/31612,1,0.5730520865602943,low_semantic_similarity,1
Lists of decorative objects and ornamental items,ornaments and decorations,approximate_neuronpedia_explanation_search_top1,59,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/59,1,0.6639810266934058,medium_semantic_similarity,2
Logic for detecting and handling draw states in games and programs,AI game logic functions,approximate_neuronpedia_explanation_search_top1,50146,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/50146,1,0.5985970566354177,low_semantic_similarity,40
Loop iteration variables and mathematical comparisons in code,conditional statements and loops,approximate_neuronpedia_explanation_search_top1,41800,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/41800,1,0.6986328257694631,medium_semantic_similarity,17
Malicious request detection requiring rejection,declining harmful requests,approximate_neuronpedia_explanation_search_top1,53974,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/53974,1,0.6376512080260871,medium_semantic_similarity,1
"Marketing language for writing instruments, especially pens",printed on packaging or device,approximate_neuronpedia_explanation_search_top1,42325,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/42325,1,0.531640353002996,low_semantic_similarity,3
Mathematical reasoning statements introducing calculated results,mathematical result calculation,approximate_neuronpedia_explanation_search_top1,37201,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/37201,1,0.6868088332491006,medium_semantic_similarity,21
Modal constructions expressing possibilities and hypotheticals,modal verbs for possibility,approximate_neuronpedia_explanation_search_top1,59418,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/59418,1,0.7346994859881988,high_semantic_similarity,8
Negotiation strategies and tactics being discussed,manipulative tactics and strategies,approximate_neuronpedia_explanation_search_top1,54482,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/54482,1,0.6867129015987619,medium_semantic_similarity,1182
Non-Latin script characters and text fragments,Non-Latin text components,approximate_neuronpedia_explanation_search_top1,26932,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/26932,1,0.8228106291370069,high_semantic_similarity,1
Numbers and operators in structured data formats,numerical values and data types,approximate_neuronpedia_explanation_search_top1,50628,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/50628,1,0.6589779278802672,medium_semantic_similarity,214
Offensive request from the user,inappropriate requests,approximate_neuronpedia_explanation_search_top1,3740,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/3740,1,0.6551294850986958,medium_semantic_similarity,18
Permission and authorization requirements in technical documentation,permission and authorization,approximate_neuronpedia_explanation_search_top1,65399,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/65399,1,0.6640499653175005,medium_semantic_similarity,1400
Probability-based decision making scenarios with explicit numerical comparisons,predicting uncertain outcomes,approximate_neuronpedia_explanation_search_top1,24435,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/24435,1,0.623952288109383,medium_semantic_similarity,5419
Product descriptions of storage and organizational furniture,adjustable legs for storage,approximate_neuronpedia_explanation_search_top1,4544,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/4544,1,0.6196688649126549,medium_semantic_similarity,1
Professional courtesy and willingness to help in formal exchanges,providing helpful responses and assistance,approximate_neuronpedia_explanation_search_top1,12783,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/12783,1,0.6177461806648933,medium_semantic_similarity,855
Punctuation separators in IUPAC chemical nomenclature,punctuation and separators,approximate_neuronpedia_explanation_search_top1,39489,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/39489,1,0.6512045560926575,medium_semantic_similarity,105
"Questions and explanations about fasteners and basic hardware (screws, nails, pegs)",hardware and fasteners,approximate_neuronpedia_explanation_search_top1,23061,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/23061,1,0.5242681343303021,low_semantic_similarity,4
Rational choice theory and utility maximization in formal decision-making,to make rational decisions,approximate_neuronpedia_explanation_search_top1,63121,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/63121,1,0.55407831478394,low_semantic_similarity,3520
Rejection and prevention of rejection in medical and emotional contexts,protecting against or preventing negative states,approximate_neuronpedia_explanation_search_top1,21418,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/21418,1,0.5280758686001962,low_semantic_similarity,1053
Rocks with special properties or symbolic meaning,"amulets, stones, artifacts grant powers",approximate_neuronpedia_explanation_search_top1,56650,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/56650,1,0.5351255684123681,low_semantic_similarity,2
Russian language grammatical connectors and word endings,Russian word endings and grammatical suffixes,approximate_neuronpedia_explanation_search_top1,6919,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/6919,1,0.8151953086352365,high_semantic_similarity,1
Section breaks and formatting elements in structured training data,"structural formatting and metadata markers indicating headers, section titles, punctuation boundaries, and newline separators.",approximate_neuronpedia_explanation_search_top1,30387,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/30387,1,0.6281484147240759,medium_semantic_similarity,3456
Setting up detailed writing or description tasks,generating descriptive scenes,approximate_neuronpedia_explanation_search_top1,21603,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/21603,1,0.5658962921742648,low_semantic_similarity,2900
Step-by-step mathematical and logical reasoning,step-by-step reasoning,approximate_neuronpedia_explanation_search_top1,31113,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/31113,1,0.7775748738974776,high_semantic_similarity,101
String literals and special characters in programming contexts,special characters and programming terms,approximate_neuronpedia_explanation_search_top1,12633,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/12633,1,0.7325437621931783,high_semantic_similarity,1
Structural delimiters and separators in formatted text,structured text separators,approximate_neuronpedia_explanation_search_top1,54640,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/54640,1,0.7300575808091379,high_semantic_similarity,1
