source_figure,figure_name,experiment_type,data_section,model,probe_layer,game,target_switching_point_tokens,lambda_calibrated,logistic_slope,offer_amount_tokens,n_agents,n_accepting,raw_fraction_accept,plotted_fraction_accept,agent_id,prompt,response,parsed_choice,lambda_required,calibration_procedure,choice_subset,mean_probe_activation
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,ultimatum,30,0.4395,0.204261,10.0,40.0,0.0,0.0,0.028455,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,ultimatum,30,0.4395,0.204261,15.0,40.0,2.0,0.05,0.077228,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,ultimatum,30,0.4395,0.204261,20.0,40.0,6.0,0.15,0.158779,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,ultimatum,30,0.4395,0.204261,25.0,40.0,10.0,0.25,0.272416,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,ultimatum,30,0.4395,0.204261,30.0,40.0,16.0,0.4,0.484636,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,ultimatum,30,0.4395,0.204261,35.0,40.0,32.0,0.8,0.686598,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,ultimatum,30,0.4395,0.204261,40.0,40.0,35.0,0.875,0.85736,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,ultimatum,30,0.4395,0.204261,45.0,40.0,37.0,0.925,0.915121,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,ultimatum,30,0.4395,0.204261,50.0,40.0,40.0,1.0,0.961718,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,ultimatum,30,0.4395,0.204261,55.0,40.0,40.0,1.0,0.97455,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,ultimatum,30,0.4395,0.204261,60.0,40.0,40.0,1.0,1.0,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,ultimatum,30,0.4395,0.204261,65.0,40.0,40.0,1.0,1.0,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,ultimatum,30,0.4395,0.204261,70.0,40.0,40.0,1.0,1.0,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,ultimatum,30,0.4395,0.204261,75.0,40.0,40.0,1.0,1.0,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,ultimatum,30,0.4395,0.204261,80.0,40.0,40.0,1.0,1.0,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,ultimatum,30,0.4395,0.204261,85.0,40.0,40.0,1.0,1.0,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,ultimatum,30,0.4395,0.204261,90.0,40.0,40.0,1.0,1.0,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,ultimatum,30,0.4395,0.204261,95.0,40.0,40.0,1.0,1.0,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,ultimatum,30,0.4395,0.204261,100.0,40.0,40.0,1.0,1.0,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,ultimatum,40,0.9926,0.201419,10.0,40.0,0.0,0.0,0.012195,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,ultimatum,40,0.9926,0.201419,15.0,40.0,0.0,0.0,0.012195,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,ultimatum,40,0.9926,0.201419,20.0,40.0,0.0,0.0,0.060961,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,ultimatum,40,0.9926,0.201419,25.0,40.0,6.0,0.15,0.134471,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,ultimatum,40,0.9926,0.201419,30.0,40.0,9.0,0.225,0.280058,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,ultimatum,40,0.9926,0.201419,35.0,40.0,18.0,0.45,0.411907,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,ultimatum,40,0.9926,0.201419,40.0,40.0,22.0,0.55,0.59131,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,ultimatum,40,0.9926,0.201419,45.0,40.0,31.0,0.775,0.71718,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,ultimatum,40,0.9926,0.201419,50.0,40.0,34.0,0.85,0.849343,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,ultimatum,40,0.9926,0.201419,55.0,40.0,38.0,0.95,0.923535,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,ultimatum,40,0.9926,0.201419,60.0,40.0,40.0,1.0,0.952744,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,ultimatum,40,0.9926,0.201419,65.0,40.0,39.0,0.975,0.968654,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,ultimatum,40,0.9926,0.201419,70.0,40.0,40.0,1.0,1.0,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,ultimatum,40,0.9926,0.201419,75.0,40.0,40.0,1.0,1.0,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,ultimatum,40,0.9926,0.201419,80.0,40.0,40.0,1.0,1.0,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,ultimatum,40,0.9926,0.201419,85.0,40.0,40.0,1.0,1.0,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,ultimatum,40,0.9926,0.201419,90.0,40.0,40.0,1.0,1.0,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,ultimatum,40,0.9926,0.201419,95.0,40.0,40.0,1.0,1.0,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,ultimatum,40,0.9926,0.201419,100.0,40.0,40.0,1.0,1.0,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,ultimatum,50,1.7841,0.203693,10.0,40.0,0.0,0.0,0.012195,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,ultimatum,50,1.7841,0.203693,15.0,40.0,0.0,0.0,0.012202,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,ultimatum,50,1.7841,0.203693,20.0,40.0,0.0,0.0,0.020359,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,ultimatum,50,1.7841,0.203693,25.0,40.0,1.0,0.025,0.020359,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,ultimatum,50,1.7841,0.203693,30.0,40.0,0.0,0.0,0.028513,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,ultimatum,50,1.7841,0.203693,35.0,40.0,1.0,0.025,0.044552,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,ultimatum,50,1.7841,0.203693,40.0,40.0,3.0,0.075,0.100227,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,ultimatum,50,1.7841,0.203693,45.0,40.0,7.0,0.175,0.248926,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,ultimatum,50,1.7841,0.203693,50.0,40.0,19.0,0.475,0.467007,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,ultimatum,50,1.7841,0.203693,55.0,40.0,30.0,0.75,0.669323,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,ultimatum,50,1.7841,0.203693,60.0,40.0,32.0,0.8,0.832563,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,ultimatum,50,1.7841,0.203693,65.0,40.0,39.0,0.975,0.906845,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,ultimatum,50,1.7841,0.203693,70.0,40.0,39.0,0.975,0.943569,,,,,,,,
figure_7_psychometric_curves_llama,Performance of using probes to steer generative agents in preference tasks,probe_steering_psychometric,data,Llama-3.3-70B-Instruct,48,ultimatum,50,1.7841,0.203693,75.0,40.0,40.0,1.0,0.962476,,,,,,,,
