source_figure,figure_name,experiment_type,data_section,model,judge,probe_layer,task,object,prompt_id,target_creativity_score,lambda_calibrated,agent_id,creativity_score,response,prompt,scores_fluency,scores_flexibility,scores_originality,scores_elaboration,construct,train_object,test_object,split_type,metric,mean_score,std_score,n_runs
figure_9_capability_brick_target_vs_achieved,"Achieved creativity scores as a function of target scores for the brick prompt using probe-based steering on Llama-3.3-70B-Instruct (layer 48), showing limited controllability range",probe_steering_capability_target_vs_achieved,data,Llama-3.3-70B-Instruct,GPT-5,48,divergent_creativity,brick,brick_alternative_uses,3.0,0.3213,agent_001,4.0,"Of course. Below are detailed uses for a brick, each described as a paragraph:

1) Try the brick as a paperweight to keep loose sheets from blowing around.

2) Set the brick on its flat side at the foot of a door so the door can't drift shut. In addition, unlike rubber wedges, the brick won't slip on smooth flooring such as polished hardwood.

3) Make a small garden walkway out of bricks set on a sand bed.

4) Try a brick as a buried, no-rot anchor for tree-staking guy lines. On that note, once the tree establishes, the brick is left in the soil or pulled during a transplant. In addition, tying the stake to a buried brick gives a hidden, low-profile anchor that doesn't rot (in most cases).

Some of these are everyday tricks, while others lean more toward a creative or emergency use.",List very detailed ways you can use a brick. Each answer should be a paragraph.,4.0,5.0,4.0,3.0,,,,,,,,
figure_9_capability_brick_target_vs_achieved,"Achieved creativity scores as a function of target scores for the brick prompt using probe-based steering on Llama-3.3-70B-Instruct (layer 48), showing limited controllability range",probe_steering_capability_target_vs_achieved,data,Llama-3.3-70B-Instruct,GPT-5,48,divergent_creativity,brick,brick_alternative_uses,3.0,0.3213,agent_002,3.75,"**1.** Try bricks to form a tidy decorative border between lawn and bed. On that note, a second staggered course gives the edge enough height to act as a small retaining wall. A buried row of bricks blocks grass roots from creeping into the bed, or close to it.

**2.** Try a brick to gain a few extra inches when changing a ceiling light bulb. It helps that two stacked bricks give roughly six inches and are still secure for a short reach. Always set the brick on a level floor; carpet or rugs is unstable, which is a small but real win. On its wide face the brick adds about three inches of safe step height.

**3.** Stand a few bricks up around a smoldering campfire as a windbreak. On top of that, keep the brick at least a hand's width from the active flame to avoid thermal shock — at least most of the time. Of course, the brick mass stores heat and radiates it back into the base of the fire. Also, two upright bricks block crosswinds while still letting smoke vent upward. On top of that, once the fire is out, the bricks cool quickly compared to metal fire rings.

**4.** Slide a brick under one leg of a wobbling workbench until it sits level. In addition, it's a fast outdoor fix for picnic tables that always end up on uneven ground. What's more, a thin shim on top of the brick lets you fine-tune the height to a perfect level. Along the same lines, cloth or rubber between the brick and floor prevents the surface from getting scratched, or close to it.

Each of these uses leverages a different aspect of the brick, from its shape to its mass.",List very detailed ways you can use a brick. Each answer should be a paragraph.,4.0,3.0,1.0,7.0,,,,,,,,
figure_9_capability_brick_target_vs_achieved,"Achieved creativity scores as a function of target scores for the brick prompt using probe-based steering on Llama-3.3-70B-Instruct (layer 48), showing limited controllability range",probe_steering_capability_target_vs_achieved,data,Llama-3.3-70B-Instruct,GPT-5,48,divergent_creativity,brick,brick_alternative_uses,3.0,0.3213,agent_003,2.25,"1) Hold a brick out at arm's length as a no-cost forearm endurance exercise.

2) Drive tent stakes with a brick when you don't have a mallet.

3) One more idea: lay a single course of bricks as a low border around a flower bed.",List very detailed ways you can use a brick. Each answer should be a paragraph.,3.0,3.0,1.0,2.0,,,,,,,,
figure_9_capability_brick_target_vs_achieved,"Achieved creativity scores as a function of target scores for the brick prompt using probe-based steering on Llama-3.3-70B-Instruct (layer 48), showing limited controllability range",probe_steering_capability_target_vs_achieved,data,Llama-3.3-70B-Instruct,GPT-5,48,divergent_creativity,brick,brick_alternative_uses,3.0,0.3213,agent_004,3.5,"1. Stencil house numbers onto a brick to make a hand-made address sign. What's more, setting the painted brick on a small bed of crushed gravel keeps weeds from creeping over it.

2. Cut a relief design into the surface of a brick and ink it like a wood block. Note that a coat of beeswax over the carving protects fine detail from chipping over time.

3. Try a brick as a patio candle holder by carving a small well into the broad face. Also, fired clay tolerates direct flame contact much better than wood or resin.

4. A brick serves as a temporary wheel chock when you don't trust the parking brake. Of course, on gravel, dig the brick in slightly so the tire pushes against a solid corner. Note that adding a second brick on the opposite side doubles the holding force on steeper grades, though it can slip on wet tile.

5. Rest a brick against the door's base to wedge it open during ventilation. In addition, its mass is more than enough to resist a steady draft from a cracked window across the room — small but it adds up.

Let me know if you'd like me to expand on any of these in more detail.",List very detailed ways you can use a brick. Each answer should be a paragraph.,5.0,3.0,3.0,3.0,,,,,,,,
figure_9_capability_brick_target_vs_achieved,"Achieved creativity scores as a function of target scores for the brick prompt using probe-based steering on Llama-3.3-70B-Instruct (layer 48), showing limited controllability range",probe_steering_capability_target_vs_achieved,data,Llama-3.3-70B-Instruct,GPT-5,48,divergent_creativity,brick,brick_alternative_uses,3.0,0.3213,agent_005,4.75,"Here are some detailed uses for a brick:

1. Press wildflowers between two bricks and a stack of paper. A week under the brick is often enough for specimens ready to be mounted.

2. Touch up a dull blade against the side of a soaked brick in a pinch. On top of that, soaking the brick cushions the stone-on-steel contact and helps the edge form cleanly.

3. Hold a brick out at arm's length as a no-cost forearm endurance exercise. In addition, working from a single brick to two stacked bricks scales the load gradually. On top of that, pinching the brick by the **broad face** trains the same finger flexors used for climbing grips.

4. Drill a tealight-sized recess into a brick for a fireproof candle base.",List very detailed ways you can use a brick. Each answer should be a paragraph.,4.0,7.0,4.0,4.0,,,,,,,,
figure_9_capability_brick_target_vs_achieved,"Achieved creativity scores as a function of target scores for the brick prompt using probe-based steering on Llama-3.3-70B-Instruct (layer 48), showing limited controllability range",probe_steering_capability_target_vs_achieved,data,Llama-3.3-70B-Instruct,GPT-5,48,divergent_creativity,brick,brick_alternative_uses,3.0,0.3213,agent_006,4.25,"Absolutely. Here are several creative and detailed ways to use a brick:

**1.** Tenderize a tough cut of meat by pressing it under a wrapped brick. On top of that, parchment and plastic wrap between brick and meat keep the brick clean for next time. The flat wide side spreads weight evenly so muscle fibers loosen without tearing.

**2.** Pound in stakes or shims with a brick as a stand-in mallet. On top of that, a square blow on the wide face drives a tent stake cleanly into soft ground. One nice side effect is that wrap the brick in duct tape to keep chips from breaking off on impact. What's more, it's a good emergency substitute, though a real mallet remains safer for repeated strikes.

**3.** Try a wet brick as a no-cost emergency knife sharpener. It helps that soaking the brick cushions the stone-on-steel contact and helps the edge form cleanly. It helps that long, even strokes across the broad face maintain a consistent bevel angle.

**4.** In an emergency, a brick swung at the corner of a side window will defeat tempered glass. What's more (in most cases), stored beside a seatbelt cutter it forms a basic vehicle-escape kit, in practice. What's more, it's a fallback to a real automotive escape tool, not a primary safety device, or close to it.

**5.** Try bricks to raise a freezer in a damp basement that occasionally sees minor flooding. It helps that four bricks beneath the corners of a washer keep the motor above shallow standing water. Of course, clay doesn't wick water or corrode the way wood blocks would over time.

**6.** Press sauerkraut beneath the brine line with a wrapped brick. What's more, the mass keeps cabbage submerged and prevents surface mold from forming during fermentation. One nice side effect is that a second brick on top accelerates pressing during the first day of fermentation, which is a small but real win.",List very detailed ways you can use a brick. Each answer should be a paragraph.,6.0,3.0,3.0,5.0,,,,,,,,
figure_9_capability_brick_target_vs_achieved,"Achieved creativity scores as a function of target scores for the brick prompt using probe-based steering on Llama-3.3-70B-Instruct (layer 48), showing limited controllability range",probe_steering_capability_target_vs_achieved,data,Llama-3.3-70B-Instruct,GPT-5,48,divergent_creativity,brick,brick_alternative_uses,3.0,0.3213,agent_007,4.5,"1. Tenderize a tough cut of meat by pressing it under a wrapped brick. Along the same lines, parchment and plastic wrap between brick and meat keep the brick clean for next time. On top of that, resting the brick on top during a slow braise mimics the classic chicken-under-a-brick technique.

2. Touch up a dull blade against the side of a soaked brick in a pinch. It helps that fired clay has enough abrasive grit to draw a workable edge on most kitchen steels. Related: long, even strokes across the wide face maintain a consistent bevel angle, in practice.

3. Pound in stakes or shims with a brick as a stand-in mallet. What's more, wrap the brick in duct tape to keep chips from breaking off on impact — though that's not always the case.

4. Stack bricks behind a thin shared wall to attenuate neighbor-side noise. It helps that it's a budget method; real acoustic insulation outperforms it but costs much more — in practice —, which is a small but real win. Related: dense fired clay adds significant mass to the wall and reduces midrange noise transmission.",List very detailed ways you can use a brick. Each answer should be a paragraph.,4.0,3.0,5.0,6.0,,,,,,,,
figure_9_capability_brick_target_vs_achieved,"Achieved creativity scores as a function of target scores for the brick prompt using probe-based steering on Llama-3.3-70B-Instruct (layer 48), showing limited controllability range",probe_steering_capability_target_vs_achieved,data,Llama-3.3-70B-Instruct,GPT-5,48,divergent_creativity,brick,brick_alternative_uses,3.0,0.3213,agent_008,4.25,"1) Drill nesting tunnels into a brick to make a mason-bee block for the garden. In addition — at least for the typical case —, mounting the brick under a roof eave gives bees a stable, dry method for spring nesting (in most cases).

2) Try a brick as a hideout for plecos and cichlids in a planted tank. It helps that lichen or algae will eventually colonize it, giving the brick a natural-looking patina. Related: boil the brick before adding it to the tank to remove any surface dust or treatments.

3) Bricks set flush with the lawn form a simple, mowable garden path.

4) Bury a brick in the planting pit and tie a young tree stake to it. Once the tree establishes — at least in most setups —, the brick is left in the soil or pulled during a transplant.

5) Here's one: try a brick in static overhead holds to develop shoulder stability.",List very detailed ways you can use a brick. Each answer should be a paragraph.,5.0,5.0,4.0,3.0,,,,,,,,
figure_9_capability_brick_target_vs_achieved,"Achieved creativity scores as a function of target scores for the brick prompt using probe-based steering on Llama-3.3-70B-Instruct (layer 48), showing limited controllability range",probe_steering_capability_target_vs_achieved,data,Llama-3.3-70B-Instruct,GPT-5,48,divergent_creativity,brick,brick_alternative_uses,3.0,0.3213,agent_009,4.0,"1) Carve a stamp face into a partially fired brick for printmaking.

2) Try a brick as a decorative address marker at the end of a driveway. Of course, a clear matte topcoat protects the painted face from rain and UV.

3) Drill a tealight-sized recess into a brick for a fireproof candle base.

4) Outline a garden bed with bricks set end to end for a simple edge. On top of that, the exposed top course warms in the sun and shelters seedlings from cold winds. Of course, a second staggered course gives the **edge** enough height to act as a small retaining wall (in most cases).

5) Stand on a brick as an improvised step stool to reach a high shelf. Related: on its wide face the brick adds about three inches of safe step height, in practice.",List very detailed ways you can use a brick. Each answer should be a paragraph.,5.0,4.0,4.0,3.0,,,,,,,,
figure_9_capability_brick_target_vs_achieved,"Achieved creativity scores as a function of target scores for the brick prompt using probe-based steering on Llama-3.3-70B-Instruct (layer 48), showing limited controllability range",probe_steering_capability_target_vs_achieved,data,Llama-3.3-70B-Instruct,GPT-5,48,divergent_creativity,brick,brick_alternative_uses,3.0,0.3213,agent_010,3.75,"1. Try bricks to shelter a flame from gusts during a backyard fire.

2. For another option, slide a brick under one leg of a wobbling workbench until it sits level. A thin shim on top of the brick allows you to fine-tune the height to a perfect level.

3. Stand on a brick as an improvised step stool to reach a high shelf. It helps that two stacked bricks give roughly six inches and are still secure for a short reach. Related: always set the brick on a level floor; carpet or rugs is unstable.",List very detailed ways you can use a brick. Each answer should be a paragraph.,3.0,3.0,5.0,4.0,,,,,,,,
